invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5%,sales,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,hour,calculated_sales,day,day_of_week,month,week,is_weekend
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07:00,Ewallet,57.92,4.761904762,2.896,4.5,18,60.816,6,Wednesday,2,6,0
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03:00,Cash,102.04,4.761904762,5.102,6.8,17,107.14200000000001,9,Saturday,3,10,1
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25:00,Ewallet,234.75,4.761904762,11.7375,7.1,10,246.4875,12,Tuesday,2,7,0
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48:00,Ewallet,431.9,4.761904762,21.595,8.2,16,453.495,7,Thursday,2,6,0
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21:00,Cash,713.8,4.761904762,35.69,5.7,19,749.49,29,Friday,3,13,0
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19:00,Cash,562.32,4.761904762,28.116,4.5,16,590.4359999999999,15,Tuesday,1,3,0
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03:00,Credit card,482.51,4.761904762,24.1255,4.6,11,506.63550000000004,11,Monday,3,11,0
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39:00,Credit card,435.66,4.761904762,21.783,6.9,10,457.443,1,Tuesday,1,1,0
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00:00,Credit card,164.01,4.761904762,8.2005,8.6,18,172.2105,21,Monday,1,4,0
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30:00,Ewallet,80.6,4.761904762,4.03,4.4,15,84.63,11,Monday,3,11,0
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24:00,Ewallet,430.2,4.761904762,21.51,4.8,11,451.71000000000004,25,Monday,2,9,0
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40:00,Ewallet,263.94,4.761904762,13.197,5.1,10,277.137,5,Tuesday,3,10,0
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20:00,Credit card,66.4,4.761904762,3.32,4.4,12,69.72,15,Friday,3,11,0
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15:00,Ewallet,172.8,4.761904762,8.64,9.9,11,181.44,17,Sunday,2,7,1
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36:00,Ewallet,265.89,4.761904762,13.2945,6.0,17,279.18449999999996,2,Saturday,3,9,1
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20:00,Credit card,420.72,4.761904762,21.036,8.5,19,441.75600000000003,22,Friday,3,12,0
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31:00,Cash,33.52,4.761904762,1.676,6.7,15,35.196000000000005,8,Friday,2,6,0
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17:00,Credit card,175.34,4.761904762,8.767,7.7,12,184.107,10,Sunday,3,10,1
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48:00,Cash,441.8,4.761904762,22.09,9.6,19,463.89,25,Friday,1,4,0
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36:00,Cash,224.01,4.761904762,11.2005,7.4,15,235.2105,15,Friday,3,11,0
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39:00,Credit card,470.65,4.761904762,23.5325,4.8,19,494.1825,25,Monday,2,9,0
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43:00,Cash,702.63,4.761904762,35.1315,4.5,12,737.7614999999998,28,Monday,1,5,0
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49:00,Cash,670.24,4.761904762,33.512,5.1,14,703.752,10,Thursday,1,2,0
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12:00,Credit card,193.16,4.761904762,9.658,5.1,10,202.81799999999998,15,Friday,3,11,0
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42:00,Ewallet,397.68,4.761904762,19.884,7.5,10,417.564,6,Wednesday,2,6,0
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28:00,Ewallet,68.12,4.761904762,3.406,6.8,12,71.52600000000001,7,Monday,1,2,0
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15:00,Ewallet,313.1,4.761904762,15.655,7.0,19,328.75499999999994,10,Sunday,3,10,1
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17:00,Ewallet,547.92,4.761904762,27.396,4.7,17,575.316,15,Tuesday,1,3,0
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24:00,Ewallet,439.36,4.761904762,21.968,7.6,13,461.32800000000003,23,Saturday,3,12,1
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01:00,Cash,240.96,4.761904762,12.048,7.7,13,253.008,3,Sunday,3,9,1
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45:00,Ewallet,86.72,4.761904762,4.336,7.9,18,91.056,17,Thursday,1,3,0
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11:00,Cash,112.22,4.761904762,5.611,6.3,10,117.831,2,Saturday,2,5,1
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03:00,Cash,414.72,4.761904762,20.736,5.6,13,435.456,8,Friday,2,6,0
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39:00,Cash,789.6,4.761904762,39.48,7.6,20,829.08,4,Monday,3,10,0
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47:00,Cash,30.74,4.761904762,1.537,7.2,19,32.277,16,Saturday,3,11,1
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00:00,Cash,375.84,4.761904762,18.792,9.5,18,394.63199999999995,9,Saturday,3,10,1
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24:00,Credit card,510.21,4.761904762,25.5105,8.4,17,535.7205,27,Wednesday,2,9,0
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47:00,Ewallet,180.09,4.761904762,9.0045,4.1,15,189.0945,6,Wednesday,2,6,0
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45:00,Credit card,113.58,4.761904762,5.679,8.1,12,119.259,10,Sunday,2,6,1
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08:00,Ewallet,826.3,4.761904762,41.315,7.9,17,867.615,19,Tuesday,3,12,0
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00,Cash,639.8,4.761904762,31.99,9.5,10,671.7900000000001,3,Sunday,2,5,1
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10:00,Cash,222.95,4.761904762,11.1475,8.5,15,234.09750000000003,10,Sunday,2,6,1
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42:00,Ewallet,71.48,4.761904762,3.574,6.5,14,75.054,22,Friday,3,12,0
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46:00,Credit card,15.43,4.761904762,0.7715,6.1,15,16.2015,25,Friday,1,4,0
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49:00,Ewallet,32.32,4.761904762,1.616,6.5,11,33.936,7,Thursday,3,10,0
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:01:00,Cash,687.84,4.761904762,34.392,8.2,19,722.2320000000001,28,Thursday,2,9,0
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26:00,Cash,88.68,4.761904762,4.434,5.8,11,93.114,27,Wednesday,3,13,0
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00,Ewallet,716.8,4.761904762,35.84,6.6,11,752.64,7,Thursday,2,6,0
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55:00,Cash,723.5,4.761904762,36.175,5.4,15,759.675,20,Sunday,1,3,1
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36:00,Cash,183.66,4.761904762,9.183,9.3,20,192.843,12,Tuesday,3,11,0
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:47:00,Credit card,74.22,4.761904762,3.711,10.0,17,77.931,15,Friday,2,7,0
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55:00,Ewallet,334.38,4.761904762,16.719,7.0,10,351.099,24,Sunday,2,8,1
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40:00,Ewallet,495.63,4.761904762,24.7815,10.0,13,520.4115,3,Sunday,2,5,1
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27:00,Credit card,158.1,4.761904762,7.905,8.6,12,166.005,6,Wednesday,3,10,0
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35:00,Cash,302.96,4.761904762,15.148,7.6,14,318.108,14,Thursday,2,7,0
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40:00,Cash,158.7,4.761904762,7.935,5.8,16,166.635,13,Wednesday,3,11,0
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43:00,Ewallet,66.94,4.761904762,3.347,6.7,15,70.28699999999999,10,Sunday,2,6,1
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01:00,Ewallet,585.66,4.761904762,29.283,9.9,15,614.943,7,Monday,1,2,0
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04:00,Cash,787.7,4.761904762,39.385,6.4,10,827.0849999999999,24,Thursday,1,4,0
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50:00,Cash,18.33,4.761904762,0.9165,4.3,18,19.246499999999997,2,Saturday,2,5,1
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00,Credit card,894.8,4.761904762,44.74,9.6,12,939.5400000000001,6,Sunday,1,1,1
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19:00,Cash,621.2,4.761904762,31.06,5.9,16,652.2599999999999,11,Monday,2,7,0
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17:00,Ewallet,145.56,4.761904762,7.278,4.0,18,152.838,5,Tuesday,3,10,0
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21:00,Cash,455.46,4.761904762,22.773,8.7,18,478.233,9,Saturday,3,10,1
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55:00,Ewallet,672.03,4.761904762,33.6015,9.4,10,705.6315,22,Tuesday,1,4,0
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04:00,Credit card,416.5,4.761904762,20.825,5.4,17,437.325,13,Sunday,1,2,1
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20:00,Credit card,441.36,4.761904762,22.068,8.6,14,463.428,9,Wednesday,1,2,0
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48:00,Credit card,180.09,4.761904762,9.0045,5.7,15,189.0945,12,Saturday,1,2,1
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24:00,Ewallet,783.1,4.761904762,39.155,6.6,16,822.255,5,Tuesday,3,10,0
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56:00,Cash,101.9,4.761904762,5.095,6.0,18,106.99499999999999,22,Tuesday,1,4,0
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42:00,Credit card,595.14,4.761904762,29.757,5.5,14,624.8969999999999,21,Monday,1,4,0
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56:00,Ewallet,290.04,4.761904762,14.502,6.4,19,304.54200000000003,26,Saturday,1,4,1
480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37:00,Ewallet,154.0,4.761904762,7.7,6.6,18,161.7,23,Wednesday,1,4,0
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45:00,Credit card,321.44,4.761904762,16.072,8.3,18,337.512,23,Saturday,2,8,1
360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17:00,Cash,244.55,4.761904762,12.2275,6.6,10,256.7775,9,Saturday,3,10,1
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31:00,Ewallet,581.42,4.761904762,29.071,4.0,14,610.4910000000001,5,Tuesday,3,10,0
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23:00,Cash,382.6,4.761904762,19.13,9.9,10,401.72999999999996,25,Monday,3,13,0
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35:00,Credit card,345.66,4.761904762,17.283,7.3,20,362.94300000000004,27,Wednesday,3,13,0
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57:00,Cash,42.47,4.761904762,2.1235,5.7,16,44.5935,2,Wednesday,1,1,0
318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55:00,Cash,461.94,4.761904762,23.097,6.1,17,485.0369999999999,27,Wednesday,2,9,0
565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25:00,Cash,189.52,4.761904762,9.476,7.1,10,198.996,23,Wednesday,1,4,0
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54:00,Ewallet,448.6,4.761904762,22.43,8.2,19,471.03000000000003,26,Saturday,1,4,1
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42:00,Ewallet,153.86,4.761904762,7.693,5.1,16,161.55300000000003,10,Thursday,1,2,0
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09:00,Credit card,579.24,4.761904762,28.962,8.6,12,608.202,12,Tuesday,3,11,0
512-91-0811,Giza,Naypyitaw,Member,Female,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05:00,Credit card,89.75,4.761904762,4.4875,6.6,20,94.2375,6,Wednesday,2,6,0
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38:00,Ewallet,97.16,4.761904762,4.858,7.2,20,102.018,8,Friday,3,10,0
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25:00,Ewallet,878.7,4.761904762,43.935,5.1,10,922.635,29,Friday,3,13,0
871-39-9221,Giza,Naypyitaw,Member,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11:00,Cash,74.7,4.761904762,3.735,4.1,13,78.43499999999999,9,Saturday,2,6,1
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16:00,Ewallet,158.25,4.761904762,7.9125,9.3,10,166.1625,23,Saturday,3,12,1
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14:00,Cash,496.2,4.761904762,24.81,7.4,18,521.01,5,Tuesday,3,10,0
163-56-7055,Giza,Naypyitaw,Member,Female,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20:00,Cash,48.71,4.761904762,2.4355,4.1,19,51.1455,26,Tuesday,3,13,0
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22:00,Cash,706.95,4.761904762,35.3475,7.2,13,742.2974999999999,1,Friday,3,9,0
551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27:00,Cash,207.63,4.761904762,10.3815,4.9,11,218.01149999999998,1,Friday,2,5,0
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44:00,Cash,349.56,4.761904762,17.478,9.9,16,367.038,28,Thursday,3,13,0
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19:00,Cash,212.45,4.761904762,10.6225,8.0,18,223.07250000000002,19,Tuesday,3,12,0
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50:00,Ewallet,886.7,4.761904762,44.335,7.3,14,931.0350000000001,12,Saturday,1,2,1
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54:00,Credit card,164.28,4.761904762,8.214,7.9,20,172.494,5,Saturday,1,1,1
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19:00,Cash,372.78,4.761904762,18.639,7.4,20,391.41900000000004,22,Friday,3,12,0
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43:00,Cash,305.82,4.761904762,15.291,4.2,10,321.111,24,Sunday,3,12,1
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30:00,Cash,819.7,4.761904762,40.985,9.2,14,860.6850000000001,3,Sunday,3,9,1
479-26-8945,Cairo,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32:00,Ewallet,32.98,4.761904762,1.649,4.6,11,34.629,5,Tuesday,2,6,0
210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41:00,Credit card,294.63,4.761904762,14.7315,7.8,10,309.3615,5,Tuesday,2,6,0
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44:00,Cash,509.88,4.761904762,25.494,8.4,12,535.374,15,Friday,2,7,0
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07:00,Ewallet,522.63,4.761904762,26.1315,4.3,20,548.7615,19,Saturday,1,3,1
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31:00,Credit card,727.11,4.761904762,36.3555,9.5,20,763.4655,1,Friday,2,5,0
225-98-1496,Giza,Naypyitaw,Member,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01:00,Credit card,81.06,4.761904762,4.053,7.1,13,85.113,2,Saturday,3,9,1
291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29:00,Ewallet,109.7,4.761904762,5.485,5.3,12,115.185,5,Tuesday,3,10,0
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26:00,Ewallet,51.36,4.761904762,2.568,5.2,15,53.928,16,Wednesday,1,3,0
642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48:00,Ewallet,109.6,4.761904762,5.48,6.0,20,115.08000000000001,2,Saturday,2,5,1
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38:00,Ewallet,106.88,4.761904762,5.344,4.1,20,112.22399999999999,20,Sunday,1,3,1
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03:00,Credit card,796.48,4.761904762,39.824,5.2,17,836.304,14,Thursday,2,7,0
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02:00,Credit card,399.84,4.761904762,19.992,6.5,12,419.832,12,Saturday,1,2,1
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26:00,Credit card,899.64,4.761904762,44.982,4.2,17,944.622,9,Saturday,3,10,1
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52:00,Credit card,511.28,4.761904762,25.564,4.6,19,536.8439999999999,13,Wednesday,3,11,0
268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57:00,Ewallet,451.76,4.761904762,22.588,7.3,14,474.348,9,Saturday,3,10,1
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44:00,Credit card,655.83,4.761904762,32.7915,4.5,18,688.6215,10,Sunday,3,10,1
870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26:00,Cash,161.25,4.761904762,8.0625,9.0,13,169.3125,27,Sunday,1,4,1
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17:00,Credit card,285.57,4.761904762,14.2785,5.9,16,299.8485,8,Tuesday,1,2,0
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57:00,Ewallet,548.32,4.761904762,27.416,8.5,15,575.7360000000001,8,Tuesday,1,2,0
549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15:00,Ewallet,812.52,4.761904762,40.626,7.2,11,853.146,8,Friday,2,6,0
191-10-6171,Cairo,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18:00,Cash,277.34,4.761904762,13.867,7.5,13,291.207,25,Friday,1,4,0
802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34:00,Cash,552.78,4.761904762,27.639,8.3,20,580.419,6,Wednesday,3,10,0
695-51-0018,Cairo,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36:00,Cash,139.36,4.761904762,6.968,7.4,18,146.328,10,Sunday,2,6,1
590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,14:40:00,Credit card,524.7,4.761904762,26.235,8.8,14,550.9350000000001,17,Sunday,2,7,1
